2026-04-01 10:02:19 | INFO | P5 | OUTPUT_FILE = artifacts\rolling_metrics_dawson.csv
2026-04-01 10:02:19 | INFO | P5 | ARTIFACTS_DIR = artifacts
2026-04-01 10:02:19 | INFO | P5 | Loaded 50 time-series records
2026-04-01 10:02:19 | INFO | P5 | Sorted records by timestamp
2026-04-01 10:02:19 | INFO | P5 | Computed rolling mean signals
2026-04-01 10:02:19 | INFO | P5 | Computed rolling error rate percentage
2026-04-01 10:02:19 | INFO | P5 | 
shape: (48, 2)
┌─────────────────────┬────────────────────────┐
│ timestamp           ┆ rolling_error_rate_pct │
│ ---                 ┆ ---                    │
│ str                 ┆ f64                    │
╞═════════════════════╪════════════════════════╡
│ 2026-02-01T08:10:00 ┆ 2.22                   │
│ 2026-02-01T08:15:00 ┆ 2.67                   │
│ 2026-02-01T08:20:00 ┆ 3.23                   │
│ 2026-02-01T08:25:00 ┆ 3.5                    │
│ 2026-02-01T08:30:00 ┆ 3.33                   │
│ …                   ┆ …                      │
│ 2026-02-01T11:45:00 ┆ 0.0                    │
│ 2026-02-01T11:50:00 ┆ 0.66                   │
│ 2026-02-01T11:55:00 ┆ 1.68                   │
│ 2026-02-01T12:00:00 ┆ 2.72                   │
│ 2026-02-01T12:05:00 ┆ 3.25                   │
└─────────────────────┴────────────────────────┘
2026-04-01 10:02:19 | INFO | P5 | Wrote rolling monitoring file: C:\Repos\cintel-04-rolling-monitoring\artifacts\rolling_metrics_dawson.csv
2026-04-01 10:02:19 | INFO | P5 | ========================
2026-04-01 10:02:19 | INFO | P5 | Pipeline executed successfully!
2026-04-01 10:02:19 | INFO | P5 | ========================
2026-04-01 10:02:19 | INFO | P5 | END main()
